,Due Days,Test Code,Work Order,Sample,Client Code,Received,Log Date,Due Date,Priority,Container Type,Cylinder #,Matrix,Test Notes,Work Order Comment,Sample 2,Column 1
,3,GC-C6LIQ,26031362,007A,ENERGY-TRA-LA-GRA,3/13/2026,3/13/2026,3/16/2026,3,Cylinder piston 300cc,9999-004915,Liquid,,,Sample point @ 5500cc,FALSE
,4,GC-C6GAS,26030963,011A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010706,Gas,,,,FALSE
,4,GC-C6GAS,26030963,012A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013064,Gas,,,,FALSE
,4,GC-C6GAS,26030963,013A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010242,Gas,,,,FALSE
,4,GC-C6GAS,26030963,014A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-012557,Gas,,,,FALSE
,4,GC-C6GAS,26030963,015A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-012553,Gas,,,,FALSE
,4,GC-C6GAS,26030963,016A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010771,Gas,,,,FALSE
,4,GC-C6GAS,26030963,017A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013030,Gas,,,,FALSE
,4,GC-C6GAS,26030963,018A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,3040-00448,Gas,,,,FALSE
,4,GC-C6GAS,26030963,019A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-012584,Gas,,,,FALSE
,4,GC-C6GAS,26030963,020A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-011198,Gas,,,,FALSE
,4,GC-C6GAS,26030963,021A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013187,Gas,,,,FALSE
,4,GC-C6GAS,26030963,022A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013109,Gas,,,,FALSE
,4,GC-C6GAS,26030963,023A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,3040-00560,Gas,,,,FALSE
,4,GC-C6GAS,26030963,024A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-012555,Gas,,,,FALSE
,4,GC-C6GAS,26030963,025A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-004839,Gas,,,,FALSE
,4,GC-C6GAS,26030963,026A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010756,Gas,,,,FALSE
,4,GC-C6GAS,26030963,027A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013179,Gas,,,,FALSE
,4,GC-C6GAS,26030963,028A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010240,Gas,,,,FALSE
,4,GC-C6GAS,26030964,001A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-007590,Gas,,,,FALSE
,4,GC-C6GAS,26030964,002A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013068,Gas,,,,FALSE
,4,GC-C6GAS,26030964,003A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010246,Gas,,,,FALSE
,4,GC-C6GAS,26030964,004A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010813,Gas,,,,FALSE
,4,GC-C6GAS,26030964,005A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-012940,Gas,,,,FALSE
,4,GC-C6GAS,26030964,006A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013139,Gas,,,,FALSE
,4,GC-C6GAS,26030964,007A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,3040-02216,Gas,,,,FALSE
,4,GC-C6GAS,26030964,008A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013119,Gas,,,,FALSE
,4,GC-C6GAS,26030964,009A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-012534,Gas,,,,FALSE
,4,GC-C6GAS,26030964,010A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1030-06410,Gas,,,,FALSE
,4,GC-C6GAS,26030964,011A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-012561,Gas,,,,FALSE
,4,GC-C6GAS,26030964,012A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013178,Gas,,,,FALSE
,4,GC-C6GAS,26030964,013A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,4030-004581,Gas,,,,FALSE
,4,GC-C6GAS,26030964,014A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010717,Gas,,,,FALSE
,4,GC-C6GAS,26030964,015A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,3040-05219,Gas,,,,FALSE
,4,GC-C6GAS,26030964,016A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,9050-00336,Gas,,,,FALSE
,4,GC-C6GAS,26030964,017A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013142,Gas,,,,FALSE
,4,GC-C6GAS,26030964,018A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010224,Gas,,,,FALSE
,4,GC-C6GAS,26030964,019A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010723,Gas,,,,FALSE
,4,GC-C6GAS,26030964,020A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013136,Gas,,,,FALSE
,4,GC-C6GAS,26030964,021A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010657,Gas,,,,FALSE
,4,GC-C6GAS,26030964,022A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-013034,Gas,,,,FALSE
,4,GC-C6GAS,26030964,023A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-012464,Gas,,,,FALSE
,4,GC-C6GAS,26030964,024A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010710,Gas,,,,FALSE
,4,GC-C6GAS,26030964,025A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/17/2026,3,Cylinder 300cc,1111-010840,Gas,,,,FALSE
,10,GC-C6GAS,26030882,020A,EOG22,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-011054,Gas,,,,FALSE
,10,GC-C6GAS,26030882,021A,EOG22,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-013088,Gas,,,,FALSE
,10,GC-C6GAS,26030882,022A,EOG22,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010724,Gas,,,,FALSE
,10,GC-C6GAS,26030966,001A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010773,Gas,,,,FALSE
,10,GC-C6GAS,26030966,002A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010651,Gas,,,,FALSE
,10,GC-C6GAS,26030966,003A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010722,Gas,,,,FALSE
,10,GC-C6GAS,26030966,004A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-013177,Gas,,,,FALSE
,10,GC-C6GAS,26030966,005A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012495,Gas,,,,FALSE
,10,GC-C6GAS,26030966,006A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010713,Gas,,,,FALSE
,10,GC-C6GAS,26030966,007A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010757,Gas,,,,FALSE
,10,GC-C6GAS,26030966,008A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010233,Gas,,,,FALSE
,10,GC-C6GAS,26030966,009A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012458,Gas,,,,FALSE
,10,GC-C6GAS,26030966,010A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-013193,Gas,,,,FALSE
,10,GC-C6GAS,26030966,011A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012453,Gas,,,,FALSE
,10,GC-C6GAS,26030966,012A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012499,Gas,,,,FALSE
,10,GC-C6GAS,26030966,013A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010790,Gas,,,,FALSE
,10,GC-C6GAS,26030966,014A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012501,Gas,,,,FALSE
,10,GC-C6GAS,26030966,015A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012498,Gas,,,,FALSE
,10,GC-C6GAS,26030966,016A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012490,Gas,,,,FALSE
,10,GC-C6GAS,26030966,017A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010691,Gas,,,,FALSE
,10,GC-C6GAS,26030966,018A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010220,Gas,,,,FALSE
,10,GC-C6GAS,26030966,019A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012509,Gas,,,,FALSE
,10,GC-C6GAS,26030966,020A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-013146,Gas,,,,FALSE
,10,GC-C6GAS,26030966,021A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-013023,Gas,,,,FALSE
,10,GC-C6GAS,26030966,022A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010228,Gas,,,,FALSE
,10,GC-C6GAS,26030966,023A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010663,Gas,,,,FALSE
,10,GC-C6GAS,26030966,024A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010232,Gas,,,,FALSE
,10,GC-C6GAS,26030966,025A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010218,Gas,,,,FALSE
,11,GC-C6GAS,26030966,012A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012499,Gas,,,,FALSE
,11,GC-C6GAS,26030966,013A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010790,Gas,,,,FALSE
,11,GC-C6GAS,26030966,014A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012501,Gas,,,,FALSE
,11,GC-C6GAS,26030966,015A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012498,Gas,,,,FALSE
,11,GC-C6GAS,26030966,016A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012490,Gas,,,,FALSE
,11,GC-C6GAS,26030966,017A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010691,Gas,,,,FALSE
,11,GC-C6GAS,26030966,018A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010220,Gas,,,,FALSE
,11,GC-C6GAS,26030966,019A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-012509,Gas,,,,FALSE
,11,GC-C6GAS,26030966,020A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-013146,Gas,,,,FALSE
,11,GC-C6GAS,26030966,021A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-013023,Gas,,,,FALSE
,11,GC-C6GAS,26030966,022A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010228,Gas,,,,FALSE
,11,GC-C6GAS,26030966,023A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010663,Gas,,,,FALSE
,11,GC-C6GAS,26030966,024A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010232,Gas,,,,FALSE
,11,GC-C6GAS,26030966,025A,ENERGY-TRA-LA-GRA,3/9/2026,3/10/2026,3/23/2026,3,Cylinder 300cc,1111-010218,Gas,,,,FALSE
,11,GC-C6GAS,26030950,012A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-012597,Gas,,,,FALSE
,11,GC-C6GAS,26030950,013A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-010701,Gas,,,,FALSE
,11,GC-C6GAS,26030950,014A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-013016,Gas,,,,FALSE
,11,GC-C6GAS,26030950,015A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-009364,Gas,,,,FALSE
,11,GC-C6GAS,26030950,016A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-013018,Gas,,,,FALSE
,11,GC-C6GAS,26030950,017A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-010662,Gas,,,,FALSE
,11,GC-C6GAS,26030950,018A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-012560,Gas,,,,FALSE
,11,GC-C6GAS,26030950,019A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-010848,Gas,,,,FALSE
,11,GC-C6GAS,26030950,020A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-013125,Gas,,,,FALSE
,11,GC-C6GAS,26030950,021A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-013112,Gas,,,,FALSE
,11,GC-C6GAS,26030950,022A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1030-05102,Gas,,,,FALSE
,11,GC-C6GAS,26030950,023A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-013014,Gas,,,,FALSE
,11,GC-C6GAS,26030950,024A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-012539,Gas,,,,FALSE
,11,GC-C6GAS,26030950,025A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-013197,Gas,,,,FALSE
,11,GC-C6GAS,26030950,026A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-010707,Gas,,,,FALSE
,11,GC-C6GAS,26030950,027A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-010801,Gas,,,,FALSE
,11,GC-C6GAS,26030950,028A,ENERGY-TRA-LA-GRA,3/10/2026,3/10/2026,3/24/2026,3,Cylinder 300cc,1111-013127,Gas,,,,FALSE
